personid,year_week,experiment_time,treatment,phonecalls
40334,201005,0,0,NA
31888,201005,0,0,0.569
28560,201005,0,0,NA
12896,201005,0,0,NA
8834,201005,0,0,0.356
38074,201005,0,0,NA
33278,201005,0,0,0.512
38046,201005,0,0,NA
39490,201005,0,0,NA
37292,201005,0,0,0.457
40336,201005,0,0,0.513
32804,201005,0,0,0.455
37276,201005,0,0,0.575
13710,201005,0,0,NA
16424,201005,0,0,0.465
41332,201005,0,0,0.49
23742,201005,0,0,NA
29248,201005,0,0,NA
21604,201005,0,0,NA
40008,201005,0,0,0.743
40034,201005,0,0,0.525
33366,201005,0,0,NA
13980,201005,0,0,0.729
14382,201005,0,0,NA
38036,201005,0,0,NA
17058,201005,0,0,NA
42682,201005,0,0,0.063
37828,201005,0,0,NA
4448,201005,0,0,NA
39144,201005,0,0,0.476
33128,201005,0,0,0.514
42634,201005,0,0,0.065
28224,201005,0,0,0.551
27704,201005,0,0,0.591
40076,201005,0,0,NA
39164,201005,0,0,0.596
18112,201005,0,1,NA
40472,201005,0,1,0.562
37804,201005,0,1,NA
5614,201005,0,1,NA
14522,201005,0,1,0.35
7488,201005,0,1,NA
22284,201005,0,1,0.728
42624,201005,0,1,0.055
17906,201005,0,1,0.573
23772,201005,0,1,0.35
21710,201005,0,1,NA
29216,201005,0,1,NA
38878,201005,0,1,0.587
25520,201005,0,1,0.415
38022,201005,0,1,NA
38566,201005,0,1,0.519
25638,201005,0,1,0.562
26934,201005,0,1,0.575
40322,201005,0,1,0.412
37296,201005,0,1,NA
32590,201005,0,1,NA
40328,201005,0,1,0.562
42628,201005,0,1,0.066
25532,201005,0,1,NA
40320,201005,0,1,NA
24142,201005,0,1,NA
13530,201005,0,1,NA
38028,201005,0,1,NA
39942,201005,0,1,0.392
42108,201005,0,1,0.508
40062,201005,0,1,0.599
38898,201005,0,1,0.501
41286,201005,0,1,0.368
39512,201005,0,1,NA
14532,201005,0,1,NA
31230,201005,0,1,NA
41818,201005,0,1,NA
31936,201005,0,1,0.415
39634,201005,0,1,0.619
40490,201005,0,1,0.534
40444,201005,0,1,NA
30308,201005,0,1,NA
42592,201005,0,1,0.036
31292,201005,0,1,0.616
28226,201005,0,1,NA
17722,201005,0,1,NA
14048,201005,0,1,0.549
26328,201005,0,1,0.337
8980,201005,0,1,NA
37840,201005,0,1,NA
30972,201005,0,1,NA
13574,201005,0,1,NA
40316,201005,0,1,0.458
36494,201005,0,1,0.311
41318,201005,0,1,NA
25940,201005,0,1,NA
39990,201005,0,1,0.679
16596,201005,0,1,0.638
4942,201005,0,1,NA
42618,201005,0,1,0.067
40192,201005,0,1,0.447
12974,201005,0,1,0.62
11868,201005,0,1,NA
38290,201005,0,1,0.502
41320,201005,0,1,0.454
39530,201005,0,1,NA
17752,201005,0,1,NA
38042,201005,0,1,NA
40164,201005,0,1,NA
37294,201005,0,1,0.372
36306,201005,0,1,NA
39096,201005,0,1,0.702
37784,201005,0,1,NA
38712,201005,0,1,0.509
23622,201005,0,1,NA
38052,201005,0,1,NA
15294,201005,0,1,NA
28492,201005,0,1,NA
4122,201005,0,1,0.403
36908,201005,0,1,0.504
28470,201005,0,1,NA
26618,201005,0,1,NA
39548,201005,0,1,NA
42104,201005,0,1,0.343
24608,201005,0,1,0.193
16514,201005,0,1,0.47
31796,201005,0,1,NA
10356,201005,0,1,0.622
23136,201005,0,1,0.678
14678,201005,0,1,NA
10794,201005,0,1,NA
30014,201005,0,1,0.594
25700,201005,0,1,NA
38070,201005,0,1,NA
10226,201005,0,1,NA
14528,201005,0,1,0.61
29230,201005,0,1,0.177
38038,201005,0,1,0.372
23228,201005,0,1,0.647
24324,201005,0,1,0.379
36032,201005,0,1,0.366
