time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1991-11,1991,11,Chad,TCD,45.00605324613,-4.62297183738,,,276.84605541955,,
1991-11,1991,11,Malaysia,MYS,60.28214778576,4.17022851777,111.13888419037,107.44532651044,2.74195238095,3017366981.56336,3032015132.10984
1991-11,1991,11,Lao PDR,LAO,4.37475630243,11.66068304395,,,706.49998112792,,
1991-11,1991,11,Taiwan China,TWN,75.25773195876,5.38770650394,,,25.96371428571,5908878393.33774,5783821495.27795
1991-11,1991,11,Cambodia,KHM,,,,,750.0,,
1991-12,1991,12,Cambodia,KHM,,,,,520.0,,
1991-12,1991,12,Philippines,PHL,33.9838054864,13.2785046729,151.53291400351,86.81432934245,26.08409090909,3614334448.85158,3298384102.44316
1991-12,1991,12,Malaysia,MYS,60.6381109919,4.29772964925,110.08757315728,106.4617063156,2.74136363636,2966740018.78545,2875082594.53363
1991-12,1991,12,Vietnam,VNM,,,,,11610.6561360415,,
1991-12,1991,12,Brunei,BRN,80.98286874582,2.68624021239,,,1.63449053452,,
1991-12,1991,12,Taiwan China,TWN,75.26836008077,4.71684163833,,,25.74127272727,6077517336.56467,5653063246.21975
1991-12,1991,12,United States,USA,63.54373574634,2.98062593145,80.73472282032,97.30640934663,1.0,169307069357.974,171275636903.314
1991-12,1991,12,Lao PDR,LAO,4.35262173531,10.42044831421,,,711.49998099436,,
1991-12,1991,12,Myanmar,MMR,2.56621491134,26.50069355301,,,6.1085,,
1991-12,1991,12,Papua New Guinea,PNG,,,227.08248234756,110.32428203542,0.99317318918,,
1991-12,1991,12,Thailand,THA,54.13522196887,4.5590074187,,,25.40636363636,,
1991-12,1991,12,China,CHN,43.82855940866,4.34290757047,125.31866165707,81.58650780927,5.42359090909,260497679307.332,283103889361.712
1991-12,1991,12,Singapore,SGP,76.77369178623,2.87443032462,79.84700597295,95.07583870302,1.64686363636,1739588706.77356,1618238905.32439
1991-12,1991,12,Indonesia,IDN,14.99935603601,10.10635937166,,,1985.0,17319696180.2698,17162434633.2378
1991-12,1991,12,Chad,TCD,45.32771554784,4.82190507104,,,267.80602095625,,
1992-01,1992,1,Cambodia,KHM,,,,,620.0,,
1992-01,1992,1,Taiwan China,TWN,75.6828568392,3.39770582256,,,25.17547826087,5859832557.15755,5818320974.71006
1992-01,1992,1,China,CHN,43.6647597506,5.5579782668,124.03096667372,80.56608212244,5.46165217391,281817304674.961,276805722162.357
1992-01,1992,1,Singapore,SGP,76.73654640851,2.56143725953,80.12238219388,95.10329516247,1.63313043478,1676179476.8515,1660604685.95654
1992-01,1992,1,Malaysia,MYS,60.81115830558,4.34644479939,111.87986536122,108.42524055608,2.69073913043,3027492374.11894,3031963367.36142
1992-01,1992,1,Brunei,BRN,81.17684827986,2.69569093447,,,1.62168151448,,
1992-01,1992,1,Lao PDR,LAO,4.41041022976,13.47121357925,,,711.49998099436,,
1992-01,1992,1,Thailand,THA,54.42645703055,4.92559358428,,,25.32304347826,,
1992-01,1992,1,Indonesia,IDN,15.00577459138,9.55753036683,,,1994.39130434783,15102400279.1414,15921640361.8063
1992-01,1992,1,United States,USA,63.58971529464,2.67260579065,80.86789338318,96.84187102227,1.0,169952359033.697,170320733741.325
1992-01,1992,1,Vietnam,VNM,,,,,11806.9813887577,,
1992-01,1992,1,Myanmar,MMR,2.60759298399,25.03360753891,,,6.0963,,
1992-01,1992,1,Papua New Guinea,PNG,,,227.84976300951,110.28926085787,1.00096372601,,
1992-01,1992,1,Philippines,PHL,33.9288518045,10.92655740109,152.24422704195,86.58085894597,26.16739130435,3275621848.6793,3245904187.64366
1992-01,1992,1,Chad,TCD,44.94686266441,2.06741186525,,,269.00602553102,,
1992-02,1992,2,Chad,TCD,45.48892566719,0.77445334272,,,275.55605050167,,
1992-02,1992,2,United States,USA,63.72765393953,2.81899109792,82.48826440375,98.41005271184,1.0,172337664766.448,171528682207.575
1992-02,1992,2,Brunei,BRN,81.28436026225,2.65393828264,,,1.62505753526,,
1992-02,1992,2,Singapore,SGP,76.70752658216,2.00043219214,80.47733844016,95.16313271887,1.6365,1369266370.84639,1611177941.8857
1992-02,1992,2,Vietnam,VNM,,,,,11506.6506943788,,
